subjectID,Start,Object_1,Object_2,congruence,correctness,tooSlow,trialNumber,displayedResponseTime,attention
10,BS,S,S,False,True,False,24,466.6666666666667,
10,BS,B,S,True,True,False,25,466.6666666666667,
10,SB,S,B,True,True,False,26,333.33333333333337,
10,SB,S,S,False,True,False,27,383.33333333333337,
10,BS,S,S,False,True,False,28,466.6666666666667,
10,BS,S,B,True,True,False,29,533.3333333333334,
10,BS,B,S,True,True,False,30,416.6666666666667,
10,SB,B,S,True,True,False,31,400.0,
10,SB,B,B,False,True,False,32,416.6666666666667,
10,SB,S,S,False,True,False,33,416.6666666666667,
10,BS,S,S,False,True,False,34,350.0,
10,SB,S,B,True,True,False,35,383.33333333333337,
10,BS,B,S,True,True,False,36,400.0,
10,SB,S,S,False,True,False,37,450.00000000000006,
10,SB,B,S,True,True,False,38,466.6666666666667,
10,BS,B,B,False,True,False,39,366.6666666666667,94.0
11,BS,B,S,True,True,False,0,650.0,
11,BS,S,B,True,True,False,1,616.6666666666667,
11,BS,S,S,False,True,False,2,800.0,
11,BS,B,B,False,True,False,3,650.0,
11,BS,B,S,True,True,False,4,600.0,
11,BS,S,B,True,True,False,5,600.0,
11,BS,S,S,False,True,False,6,600.0,
11,BS,B,B,False,True,False,7,500.00000000000006,
11,SB,B,B,False,True,False,8,500.00000000000006,
11,SB,S,B,True,True,False,9,533.3333333333334,
11,SB,S,S,False,True,False,10,533.3333333333334,
11,BS,S,B,True,True,False,11,600.0,
11,SB,S,B,True,True,False,12,733.3333333333334,
11,SB,B,S,True,True,False,13,533.3333333333334,
11,BS,B,B,False,True,False,14,600.0,
11,SB,B,B,False,True,False,15,533.3333333333334,
11,SB,S,B,True,True,False,16,583.3333333333334,
11,BS,B,B,False,True,False,17,500.00000000000006,
11,SB,S,S,False,True,False,18,450.00000000000006,
11,SB,B,B,False,True,False,19,683.3333333333334,
11,BS,S,B,True,True,False,20,566.6666666666667,
11,BS,B,S,True,True,False,21,916.6666666666669,
11,BS,B,B,False,True,False,22,700.0,
11,BS,S,B,True,True,False,23,616.6666666666667,
11,SB,S,S,False,True,False,24,416.6666666666667,
11,SB,S,B,True,True,False,25,450.00000000000006,
11,SB,B,S,True,True,False,26,416.6666666666667,
11,SB,B,B,False,True,False,27,483.33333333333337,
11,SB,S,S,False,True,False,28,466.6666666666667,
11,SB,B,B,False,True,False,29,600.0,
11,BS,B,B,False,True,False,30,566.6666666666667,
11,BS,S,B,True,True,False,31,466.6666666666667,
11,SB,S,B,True,True,False,32,533.3333333333334,
11,BS,B,S,True,True,False,33,483.33333333333337,
11,SB,S,S,False,True,False,34,566.6666666666667,
11,SB,S,B,True,True,False,35,566.6666666666667,
